	Date	ticker	buy_sell_point	Close	Volume	POS_score	POS_num	NEG_score	NEG_num	POS_score_list	NEG_score_list	POS_models_name	NEG_moldel_name
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
